ad_id,ad_tone
x_670667747815068,Promote
x_5298717243570986,Contrast
x_576522407566228,Contrast
x_826879655181022,Contrast
x_798184631412292,Contrast
x_842772790084887,Contrast
x_1341878763284475,Contrast
x_804580670811492,Contrast
x_648250663377658,Contrast
x_5544051832296681,Contrast
x_434129778681159,Contrast
x_786068379355473,Contrast
x_781766043263647,Contrast
x_657430292572458,Contrast
x_822503995567773,Contrast
x_683261156266112,Contrast
x_784680589292185,Contrast
x_854664959033126,Contrast
x_1229558450935647,Contrast
x_1546638979184911,Contrast
x_437853904941698,Contrast
x_639712294264567,Contrast
x_1156217921637279,Contrast
x_5394750680580823,Contrast
x_608584087670240,Attack
x_635626331369479,Attack
x_1487429375041299,Attack
x_3354945618053895,Attack
x_483843287017606,Attack
x_2276289015864171,Attack
x_442842451063208,Attack
x_510683504235640,Attack
x_431106385795535,Attack
x_480764534095168,Attack
x_506469561320046,Attack
x_782722116150143,Attack
x_1842097696143330,Attack
x_629119675272406,Attack
x_1091160315104284,Attack
x_495356252451319,Attack
x_638532141159855,Attack
x_519133133553333,Attack
x_645336937110698,Attack
x_647511140107289,Attack
x_844963746524345,Attack
x_1174418453145483,Attack
x_3173190289609528,Attack
x_568783418337885,Attack
x_1115524049089233,Attack
x_1173575886611319,Attack
x_1033005850720620,Attack
x_1264749894295165,Attack
x_3430484300523123,Attack
x_469453751767251,Attack
x_610390177203784,Attack
x_619407499595524,Attack
x_622049686024182,Attack
x_864559777757150,Attack
x_1141613330098059,Attack
x_1432416497265088,Attack
x_1762307810799811,Attack
x_613041877018205,Attack
x_3191787087755109,Attack
x_459919039517134,Attack
x_3361641930721810,Attack
x_415907613962904,Attack
x_655575789515992,Attack
x_852305489084678,Contrast
x_3285145891770423,Promote
x_615034803615633,Promote
x_449929597175131,Promote
x_747530129656780,Contrast
x_738494470582317,Contrast
x_2309546245853315,Contrast
x_636735968020436,Promote
x_644338700203211,Promote
x_604308027806768,Contrast
x_2836220889846889,Contrast
x_790175338803014,Promote
x_791069448708677,Promote
x_1118820995695293,Promote
x_1232361360920858,Promote
x_1717217445322326,Promote
x_758523861871747,Promote
x_635771827874309,Contrast
x_552313983352503,Promote
x_1073073536649785,Attack
x_439028174937385,Attack
x_774601653736195,Attack
x_1583598495415025,Attack
x_2006067329580062,Attack
x_791799078941488,Attack
x_650827513428718,Contrast
x_418415577117305,Contrast
x_3350700971874965,Contrast
x_794451848294195,Promote
x_784900399462360,Contrast
x_661312625619676,Promote
x_2260602484110956,Contrast
x_401679038842708,Contrast
x_445462844390043,Contrast
x_439515514986742,Contrast
x_3385187145048697,Promote
x_669499447906580,Promote
x_659344085559771,Contrast
x_1340599863347196,Contrast
x_646371126857587,Contrast
x_805778647296352,Contrast
x_1053928168612571,Contrast
x_508759397932686,Contrast
x_841975880323366,Contrast
x_1083627892347463,Contrast
x_5708913792479109,Contrast
x_680622413314253,Contrast
x_1077773832941108,Promote
x_472003454907687,Promote
x_5702569403169539,Contrast
x_3055948974695147,Contrast
x_592715662600894,Contrast
x_488578616648034,Contrast
x_5917855878278024,Contrast
x_567285691738485,Promote
x_1274711586653402,Contrast
x_1532229033869759,Contrast
x_1625357241200418,Promote
x_536129645008459,Contrast
x_507520787908736,Promote
x_1143830326243602,Contrast
x_639666821043984,Promote
x_536640191632136,Contrast
x_670720187801569,Promote
x_1283037338904250,Contrast
x_498892835265439,Contrast
x_629675555374091,Contrast
x_811783376722235,Contrast
x_536024168533524,Promote
x_1115092496048431,Promote
x_2284726568371065,Promote
x_1927942040746799,Contrast
x_483824137104618,Contrast
x_826712948647862,Contrast
x_639058737913941,Contrast
